Sample,Temp(BME680),Presure(BME680),H.R.(BME680),R(BME680),CO2(SGP30),TVOC(SGP30),H2(SGP30),Etanol(SGP30),CO2(CCS811),TVOC(CCS811),Res(ohm)(CCS811),CO2(iAQ),TVOC(iAQ),R(iAQ-Core),Aire/Muestra
1,29,97825,10,0,400,0,14366,18735,403,0,133400,450,125,622641,0
2,29,97858,10,1165133198,402,6,14374,18738,410,1,132800,450,125,624590,0
3,30,97893,10,1166689888,400,4,14384,18743,403,0,133400,450,125,627531,0
4,30,97927,10,1168895684,400,0,14381,18746,400,0,133800,450,125,631488,0
5,30,97962,10,1171173747,400,0,14380,18757,400,0,133800,450,125,633482,0
6,30,98002,10,1173759121,408,4,14376,18753,400,0,133800,450,125,638510,0
7,30,98033,10,1175495540,418,12,14379,18744,400,0,133800,450,125,641559,0
8,31,98061,10,1176996345,410,11,14377,18739,400,0,133800,450,125,632484,0
9,31,98094,10,1178519396,404,8,14382,18751,400,0,133800,450,125,631488,0
10,31,98125,10,1180057963,407,5,14390,18754,400,0,134000,450,125,631488,0
11,31,98156,10,1181480136,400,0,14382,18757,416,2,132800,450,125,633482,0
12,31,98188,10,1182887124,403,3,14384,18752,414,2,133200,450,125,633482,0
13,32,98217,10,1183607158,412,8,14379,18753,409,1,133400,450,125,622641,0
14,32,98253,10,1184331860,411,13,14379,18745,406,0,133800,450,125,618773,0
15,32,98280,10,1185074412,407,7,14381,18746,406,0,133800,450,125,626548,0
16,32,98310,10,1185744033,405,1,14383,18750,406,0,133800,450,125,627531,0
17,32,98335,10,1186556129,400,0,14387,18769,406,0,133800,450,125,623614,0
18,33,98365,10,1187246364,410,4,14378,18760,406,0,133800,450,125,629505,0
19,33,98392,10,1187951750,424,14,14366,18748,406,0,133800,450,125,634482,0
20,33,98417,10,1188589239,413,11,14376,18744,414,2,133200,450,125,638510,0
21,33,98445,10,1189289689,400,5,14382,18765,416,2,132800,450,125,636491,0
22,33,98466,10,1189939624,412,10,14379,18755,400,0,134000,450,125,637500,0
23,34,98500,10,1190576284,414,7,14377,18752,400,0,134000,450,125,627531,0
24,34,98528,10,1191185724,408,3,14378,18764,406,0,133800,450,125,632484,0
25,34,98551,10,1191481359,404,6,14383,18766,406,0,133800,450,125,634482,0
26,34,98573,10,1191813554,418,7,14375,18760,400,0,134000,450,125,636491,0
27,34,98596,10,1192091801,417,4,14379,18761,409,1,133400,450,125,635485,0
28,34,98623,10,1192396251,410,1,14386,18758,400,0,134000,450,125,636491,0
29,35,98643,10,1192667114,403,0,14389,18770,406,0,133800,450,125,636491,0
30,35,98667,10,1192982320,423,6,14375,18753,409,1,133400,450,125,645660,0
31,35,98690,10,1193267522,407,8,14382,18760,409,1,133400,450,125,645660,0
32,35,98712,10,1193526518,409,4,14380,18763,400,0,134000,450,125,647727,0
33,35,98733,10,1193798648,400,4,14390,18765,406,0,133800,450,125,642580,0
34,35,98761,10,1193991716,419,0,14383,18767,400,0,134000,450,125,634482,0
35,35,98783,10,1194312678,416,4,14374,18761,406,0,133800,450,125,623614,0
36,36,98802,10,1194537073,405,0,14386,18763,400,0,134000,450,125,629505,0
37,36,98824,10,1194823496,417,7,14377,18768,406,0,133800,450,125,642580,0
38,36,98841,10,1194897616,406,4,14384,18773,400,0,134000,450,125,647727,0
39,36,98863,10,1195188249,410,4,14381,18771,414,2,133200,450,125,681190,0
40,36,98879,10,1195441323,409,6,14381,18765,409,1,133400,450,125,671189,0
41,36,98900,10,1195620916,409,7,14386,18773,406,0,133800,450,125,617812,0
42,36,98922,10,1195900078,401,0,14381,18774,400,0,134400,450,125,653992,0
43,37,98937,10,1196117556,400,0,14388,18789,403,0,134000,517,144,626548,0
44,37,98955,10,1196199947,418,5,14374,18771,409,1,133800,773,214,540944,0
45,37,98973,10,1196539956,413,9,14378,18773,409,1,133800,600,167,596354,0
46,37,98992,10,1196654203,416,3,14379,18772,403,0,134000,450,125,685714,0
47,37,99014,10,1196934457,411,10,14380,18780,409,1,133800,450,125,692592,0
48,37,99032,10,1197083586,412,8,14379,18772,409,1,133800,450,125,680067,0
49,37,99048,10,1197313271,412,0,14380,18773,417,2,133200,547,152,615897,0
50,37,99065,10,1197440794,419,1,14384,18779,403,0,134000,573,159,606465,0
51,38,99081,10,1197661781,408,1,14379,18784,409,1,133800,669,186,573498,0
52,38,99097,10,1197900058,419,8,14374,18773,403,0,134000,563,157,610210,0
53,38,99112,10,1198006055,410,4,14380,18780,403,0,134000,450,125,809765,0
54,38,99130,10,1198178780,421,9,14374,18772,403,0,134000,450,125,742805,0
55,38,99142,10,1198299822,414,12,14381,18781,400,0,134400,450,125,805287,0
56,38,99157,10,1198536271,409,0,14384,18786,403,0,134000,450,125,670093,0
57,38,99173,10,1198651419,416,2,14386,18779,403,0,134000,462,129,650847,0
58,38,99189,10,1198839200,417,8,14381,18771,417,2,133200,450,125,713924,0
59,38,99202,10,1199007196,409,2,14378,18777,403,0,134000,450,125,721276,0
60,39,99216,10,1199141680,407,7,14382,18783,403,0,134000,488,136,640540,1
61,39,99230,10,1199303522,409,0,14378,18779,403,0,134000,476,133,645660,1
62,39,99245,10,1199532973,400,0,14394,18791,409,1,133800,450,125,667909,1
63,39,99264,10,1199507164,635,33,14205,18742,462,9,129600,450,125,657161,1
64,39,99277,10,1199417455,808,82,14075,18673,1313,139,101800,960,266,493867,1
65,39,99289,10,1199303522,1039,131,13971,18592,1638,280,90000,1209,334,440625,1
66,39,99303,10,1199253384,1223,173,13908,18525,1785,434,82400,1772,489,354310,1
